customerid,record_date,monthlycharges,totalcharges,customerservicecalls,state,city,zipcode,latitude,longitude,gender,seniorcitizen,partner,dependents,tenuremonths,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,cltv
1506-YJTYT,2021-08-01,84.18900000,384294.00000000,0,California,Oakley,94561,37.99940600,-121.68624100,Male,No,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),5264
4061-UKJWL,2021-08-01,51.81300000,16153.80000000,0,California,San Francisco,94102,37.77950000,-122.41923300,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,3666
4090-KPJIP,2021-08-01,85.44300000,24213.60000000,0,California,Anaheim,92806,33.83796000,-117.87049400,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3641
8313-KTIHG,2021-08-01,69.88200000,28431.60000000,0,California,Thousand Palms,92276,33.84926300,-116.38277800,Male,No,No,No,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,5281
9970-QBCDA,2021-08-01,22.45800000,14768.70000000,0,California,March Air Reserve Base,92518,33.88832300,-117.27753300,Female,No,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),5387
1355-KUSBG,2021-08-01,55.63200000,39877.20000000,0,California,Fall River Mills,96028,41.01728200,-121.46894500,Female,No,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,4785
9643-YBLUR,2021-08-01,78.71700000,74550.30000000,0,California,West Covina,91791,34.06163400,-117.89316900,Male,No,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2907
4324-BZCKL,2021-08-01,63.32700000,62848.20000000,0,California,Paynes Creek,96075,40.34321300,-121.81541200,Female,No,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,2530
4385-ZKVNW,2021-08-01,62.58600000,290597.40000000,0,California,San Francisco,94102,37.77950000,-122.41923300,Male,No,Yes,Yes,44,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),4412
1707-HABPF,2021-08-01,104.08200000,470403.90000000,0,California,Santa Barbara,93103,34.43858100,-119.68536800,Female,Yes,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),3191
5278-PNYOX,2021-08-01,114.74100000,560623.50000000,0,California,San Jose,95126,37.32706900,-121.91681900,Female,No,No,No,49,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),5499
6194-HBGQN,2021-08-01,92.51100000,470386.80000000,0,California,Taft,93268,35.18483700,-119.40252500,Male,No,No,No,51,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),4549
9640-ZSLDC,2021-08-01,69.08400000,375858.00000000,0,California,Lagunitas,94938,38.02177200,-122.69174400,Female,No,Yes,Yes,53,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),4854
7128-GGCNO,2021-08-01,82.99200000,370431.60000000,0,California,Laguna Hills,92653,33.60689900,-117.71785400,Male,No,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2642
9298-WGMRW,2021-08-01,131.67000000,947653.50000000,0,California,Echo Lake,95721,38.85184200,-120.07620400,Female,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4697
0270-THENM,2021-08-01,79.62900000,581667.90000000,0,California,Mission Hills,91345,34.26638900,-118.45974400,Male,No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),6233
5882-CMAZQ,2021-08-01,34.75005000,16593.78300000,3,California,National City,91950,32.67102000,-117.09523500,Female,No,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,5100
9773-PEQBZ,2021-08-01,81.01581000,80888.98500000,3,California,Lake Elsinore,92530,33.65542100,-117.39175100,Male,No,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,5739
1208-NBVFH,2021-08-01,50.32416000,95352.10800000,3,California,Perris,92570,33.78729800,-117.32067600,Male,No,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,3235
4011-ARPHK,2021-08-01,51.08511000,143195.57100000,3,California,Norwalk,90650,33.90596300,-118.08263000,Male,No,No,No,27,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,5578
8917-FAEMR,2021-08-01,20.13981000,79570.00500000,3,California,Vallejo,94590,38.10470500,-122.24738700,Female,No,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,3408
0531-ZZJWQ,2021-08-01,84.36000000,461973.60000000,0,California,Lone Pine,93545,36.59041500,-118.07383900,Male,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,4958
6278-FEPBZ,2021-08-01,20.54565000,18886.77900000,3,California,San Bernardino,92410,34.10692200,-117.29755300,Female,No,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5546
2138-VFAPZ,2021-08-01,19.98762000,26749.92900000,3,California,San Francisco,94130,37.82089400,-122.36972500,Female,No,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,2966
2665-NPTGL,2021-08-01,99.53226000,254735.62200000,3,California,Sheep Ranch,95250,38.24480600,-120.41730100,Female,Yes,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),3114
2133-TSRRM,2021-08-01,106.88811000,374245.35600000,3,California,Rosemead,91770,34.06510800,-118.08279100,Female,No,No,Yes,34,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5432
0932-YIXYU,2021-08-01,20.54565000,104483.50800000,3,California,Dos Palos,93620,37.04572800,-120.63068200,Female,No,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),5134
3259-KNMRR,2021-08-01,80.91435000,450299.77200000,3,California,Montrose,91020,34.21120000,-118.23062500,Male,Yes,No,No,57,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),5371
0744-BIKKF,2021-08-01,62.23203000,447065.13600000,8,California,Mecca,92254,33.54383500,-115.99390600,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),4621
0595-ITUDF,2021-08-01,93.14028000,604752.33000000,3,California,Fairfax,94930,37.97175100,-122.61187300,Male,No,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,5371
2931-SVLTV,2021-08-01,71.54298000,290402.11800000,8,California,Vallejo,94589,38.16132100,-122.27158800,Male,No,Yes,Yes,40,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2283
0511-JTEOY,2021-08-01,0.00000000,0.00000000,0,California,Canyon Dam,95923,40.17131200,-121.12060500,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,5824
3803-KMQFW,2021-08-01,0.00000000,0.00000000,0,California,Brea,92821,33.93019900,-117.86289800,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3797
1980-KXVPM,2021-08-01,0.00000000,0.00000000,0,California,El Centro,92243,32.77039300,-115.60915000,Female,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),3553
8650-RHRKE,2021-08-01,0.00000000,0.00000000,0,California,Oakdale,95361,37.78503300,-120.77614100,Male,No,No,No,4,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,4207
3074-GQWYX,2021-08-01,0.00000000,0.00000000,0,California,San Diego,92108,32.77404600,-117.14245400,Male,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3520
5028-HTLJB,2021-08-01,0.00000000,0.00000000,8,California,New Cuyama,93254,34.95657700,-119.75014200,Male,Yes,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3491
9367-WXLCH,2021-08-01,0.00000000,0.00000000,8,California,Glendale,91204,34.13630600,-118.26036000,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),2152
1455-ESIQH,2021-08-01,0.00000000,0.00000000,8,California,Oakland,94619,37.78718600,-122.14633000,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2905
9889-TMAHG,2021-08-01,0.00000000,0.00000000,8,California,Fremont,94539,37.51679100,-121.89911700,Male,Yes,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),5084
6646-VRFOL,2021-08-01,0.00000000,0.00000000,8,California,Larkspur,94939,37.93708200,-122.53236900,Male,Yes,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,5860
8720-RQSBJ,2021-08-01,50.16000000,5016.00000000,0,California,Armona,93202,36.31597900,-119.71085200,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,4320
9895-VFOXH,2021-08-01,27.81600000,2781.60000000,0,California,Scotia,95565,40.44063600,-124.09873900,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,5092
6907-FLBER,2021-08-01,61.90200000,6190.20000000,0,California,Burbank,91505,34.17421500,-118.34592800,Male,No,No,No,1,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,3259
3806-YAZOV,2021-08-01,21.43200000,6384.00000000,0,California,Lagunitas,94938,38.02177200,-122.69174400,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,3010
3039-MJSLN,2021-08-01,23.02800000,5768.40000000,0,California,Cressey,95312,37.42027300,-120.66527000,Male,No,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),3594
9039-ZVJDC,2021-08-01,21.77400000,6047.70000000,0,California,Pauma Valley,92061,33.31382800,-116.94050100,Male,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,4905
2974-GGUXS,2021-08-01,104.82300000,376319.70000000,0,California,Granite Bay,95746,38.74946600,-121.18419600,Female,Yes,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),3273
4282-ACRXS,2021-08-01,28.32900000,108955.50000000,0,California,Covina,91723,34.08474700,-117.88684400,Male,Yes,Yes,No,38,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3511
6873-UDNLD,2021-08-01,76.89300000,311334.00000000,0,California,Oakland,94612,37.80901400,-122.26973900,Male,No,No,No,40,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,4714
8216-AZUUZ,2021-08-01,114.45600000,490616.10000000,0,California,San Francisco,94118,37.78130400,-122.46152200,Female,No,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,3265
8679-LZBMD,2021-08-01,103.34100000,453053.10000000,0,California,North Fork,93643,37.24430700,-119.47025600,Male,No,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),3786
9629-NHXFW,2021-08-01,22.11600000,2211.60000000,0,California,Downey,90241,33.94088400,-118.12862800,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,3160
6734-CKRSM,2021-08-01,22.80000000,7250.40000000,0,California,Stirling City,95978,39.90400200,-121.52782300,Female,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,4258
4749-OJKQU,2021-08-01,86.24100000,34467.90000000,0,California,San Jose,95132,37.42465500,-121.74841000,Female,No,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5396
2233-FAGXV,2021-08-01,27.70200000,15076.50000000,0,California,Salton City,92275,33.28156000,-115.95554100,Female,No,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,3181
7435-ZNUYY,2021-08-01,23.48400000,13292.40000000,0,California,Loleta,95551,40.66595200,-124.24005100,Male,No,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,4439
0909-SDHNU,2021-08-01,33.97200000,23022.30000000,0,California,Los Angeles,90036,34.07029100,-118.34919100,Female,No,No,Yes,7,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,4236
2740-JFBOK,2021-08-01,27.36000000,25826.70000000,0,California,Lakewood,90713,33.84775500,-118.11253200,Male,No,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,5299
3898-GUYTS,2021-08-01,110.63700000,499895.70000000,0,California,Ravendale,96123,40.84573800,-120.32221900,Female,Yes,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,4735
6425-JWTDV,2021-08-01,21.94500000,97481.40000000,0,California,Boron,93516,34.95703000,-117.73045000,Male,No,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,2282
8582-KRHPJ,2021-08-01,39.90000000,203193.60000000,0,California,Moraga,94556,37.82794600,-122.10718500,Male,No,No,No,50,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,5629
1309-XGFSN,2021-08-01,92.16900000,465068.70000000,0,California,Pinon Hills,92372,34.45932200,-117.62972900,Male,Yes,Yes,Yes,52,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,6090
2228-BZDEE,2021-08-01,22.91400000,123057.30000000,0,California,Pleasanton,94566,37.63336100,-121.86239500,Female,No,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,5755
9079-LWTFD,2021-08-01,114.85500000,532288.80000000,0,California,Pioneertown,92268,34.20110800,-116.59345600,Male,No,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,2508
2302-OUZXB,2021-08-01,93.65100000,659410.20000000,0,California,Ventura,93001,34.36026100,-119.30638300,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),4552
7721-DVEKZ,2021-08-01,19.93689000,1993.68900000,3,California,Thousand Oaks,91360,34.21405400,-118.88109000,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,4639
1976-AZZPJ,2021-08-01,34.69932000,26034.63600000,3,California,Concord,94520,38.01382500,-122.03914400,Male,No,Yes,No,7,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,5100
3190-FZATL,2021-08-01,20.24127000,27231.86400000,3,California,Lakeside,92040,32.90987300,-116.90677400,Male,No,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5770
9330-DHBFL,2021-08-01,67.21725000,155619.34800000,3,California,San Jose,95130,37.27759200,-121.98647700,Female,No,Yes,No,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,2072
4641-FROLU,2021-08-01,19.58178000,61170.23400000,3,California,La Honda,94020,37.28567700,-122.22416500,Female,No,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,4453
1004-NOZNR,2021-08-01,108.07200000,600130.20000000,0,California,Glen Ellen,95442,38.36874400,-122.52264200,Male,Yes,No,Yes,56,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),5693
9932-WBWIK,2021-08-01,20.64711000,21839.26500000,3,California,Lake Isabella,93240,35.60787500,-118.46631800,Male,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5597
0384-RVBPI,2021-08-01,65.34024000,141901.95600000,3,California,Turlock,95380,37.47439600,-120.87591700,Male,No,No,No,20,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),2120
9518-IMLHK,2021-08-01,73.50777000,218773.12500000,3,California,Sacramento,95820,38.53508000,-121.44414400,Male,No,No,No,31,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),3175
8952-WCVCD,2021-08-01,105.97497000,422281.59300000,3,California,South Gate,90280,33.94462400,-118.19261500,Female,No,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),2719
6900-RBKER,2021-08-01,90.75597000,464458.51500000,3,California,San Jose,95120,37.18614100,-121.84355400,Male,No,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),5386
9489-DEDVP,2021-08-01,49.69944000,349932.17700000,8,California,Los Angeles,90044,33.95271400,-118.29206100,Female,No,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),4715
1162-ECVII,2021-08-01,78.82245000,569712.15000000,8,California,Fresno,93704,36.79964800,-119.80124700,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),4265
4211-MMAZN,2021-08-01,0.00000000,0.00000000,0,California,Vacaville,95688,38.41908800,-122.02456800,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,2959
6141-OOXUQ,2021-08-01,0.00000000,0.00000000,0,California,San Bernardino,92411,34.12250100,-117.32013800,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5717
4919-MOAVT,2021-08-01,0.00000000,0.00000000,0,California,Pasadena,91103,34.16746500,-118.16532700,Male,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,2421
0506-LVNGN,2021-08-01,0.00000000,0.00000000,0,California,Rancho Cordova,95742,38.59113400,-121.16158500,Female,Yes,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),4028
5134-IKDAY,2021-08-01,0.00000000,0.00000000,8,California,Twain,95984,40.02218400,-121.06238400,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2123
3387-VATUS,2021-08-01,0.00000000,0.00000000,8,California,Aromas,95004,36.87836400,-121.62978100,Male,No,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),5701
4512-ZUIYL,2021-08-01,0.00000000,0.00000000,8,California,Sunnyvale,94089,37.42163300,-122.00961300,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),2928
0306-JAELE,2021-08-01,0.00000000,0.00000000,8,California,Tecopa,92389,35.82457200,-116.27475500,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4192
8945-MUQUF,2021-08-01,0.00000000,0.00000000,8,California,Tecopa,92389,35.82457200,-116.27475500,Male,No,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,5074
2700-LUEVA,2021-08-01,23.65500000,2365.50000000,0,California,Oakland,94618,37.84551000,-122.23518100,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),2791
9975-SKRNR,2021-08-01,21.54600000,2154.60000000,0,California,Sierraville,96126,39.55970900,-120.34563900,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,4480
9103-CXVOK,2021-08-01,22.51500000,2251.50000000,0,California,Grover Beach,93433,35.12083300,-120.61843000,Male,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,3068
9962-BFPDU,2021-08-01,22.85700000,2285.70000000,0,California,Kenwood,95452,38.41952500,-122.52158500,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,5811
0374-IOEGQ,2021-08-01,50.84400000,13987.80000000,0,California,Gonzales,93926,36.52588000,-121.39671900,Female,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,3122
7311-MQJCH,2021-08-01,22.28700000,11354.40000000,0,California,Temecula,92592,33.50725500,-117.02947300,Female,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,2575
3865-QBWSJ,2021-08-01,91.71300000,360542.10000000,0,California,Courtland,95615,38.31160900,-121.55403400,Male,Yes,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,2926
7205-BAIAD,2021-08-01,23.48400000,94312.20000000,0,California,Fillmore,93015,34.40816100,-118.86511100,Female,No,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),3091
9919-YLNNG,2021-08-01,118.33200000,493335.00000000,0,California,Malibu,90263,34.03703700,-118.70580300,Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4005
2208-NKVVH,2021-08-01,27.64500000,122886.30000000,0,California,Costa Mesa,92626,33.67859100,-117.90547100,Male,No,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,4432
6416-JNVRK,2021-08-01,63.44100000,306528.90000000,0,California,Gardena,90248,33.87648200,-118.28407700,Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),2867
5808-TOTXO,2021-08-01,23.42700000,6543.60000000,0,California,Oakland,94605,37.75801900,-122.13867800,Female,No,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),2774
9714-EDSUC,2021-08-01,108.18600000,41102.70000000,0,California,Alviso,95002,37.44953700,-121.99481300,Male,No,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,3094
1356-MKYSK,2021-08-01,89.66100000,55096.20000000,0,California,Castro Valley,94546,37.70832700,-122.08347300,Male,No,No,No,6,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),2724
2018-PZKMU,2021-08-01,117.53400000,110631.30000000,0,California,Santa Ana,92701,33.74847800,-117.85891800,Male,No,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,4171
0757-WCUUZ,2021-08-01,41.16483000,221523.31800000,8,California,June Lake,93529,37.73026900,-119.05581300,Male,No,Yes,Yes,54,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),4232
7919-ZODZZ,2021-08-01,42.82182000,42890.04900000,8,California,Antioch,94509,37.98005700,-121.80159900,Female,No,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,5289
9350-VLHMB,2021-08-01,58.18959000,414124.03800000,8,California,Volcano,95689,38.48190200,-120.60366800,Male,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6111
8999-EXMNO,2021-08-01,13.09347000,25192.74600000,8,California,Dos Rios,95429,39.75604900,-123.35870100,Female,No,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,4246
3668-QPYBK,2021-08-01,0.00000000,0.00000000,0,California,Los Angeles,90003,33.96413100,-118.27278300,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,3239
3158-MOERK,2021-08-01,0.00000000,0.00000000,0,California,Hayward,94545,37.62984000,-122.12084300,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,3391
8086-OVPWV,2021-08-01,0.00000000,0.00000000,0,California,San Diego,92105,32.74185900,-117.09035300,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2384
7776-QGYJC,2021-08-01,52.95870000,201912.35400000,8,California,Shasta Lake,96019,40.69252300,-122.36987600,Female,No,Yes,Yes,39,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),2042
9746-MDMBK,2021-08-01,73.71981000,345550.64400000,8,California,Manton,96059,40.42667900,-121.85042100,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),3729
1285-OKIPP,2021-08-01,0.00000000,0.00000000,0,California,Mission Hills,91345,34.26638900,-118.45974400,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,3394
9227-LUNBG,2021-08-01,0.00000000,0.00000000,3,California,Pescadero,94060,37.22565000,-122.29753300,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,5768
0870-VEMYL,2021-08-01,0.00000000,0.00000000,3,California,Columbia,95310,38.08583900,-120.37855000,Female,No,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),5435
0135-NMXAP,2021-08-01,0.00000000,0.00000000,3,California,Lodi,95240,38.12354400,-121.15907800,Female,No,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),5671
